Kommune,Jahr,Name der Beteiligung,Ausschuss,Thema,Beschlussempfehlung,Begründung,Änderungen,Antragsteller W,Antragsteller M,Antragsteller D,im Ausschuss genehmigt,im Rat genehmigt,AGS,Einwohnerzahl,stärkste Fraktion,Schulform,Bundesland,Klassenstufe,urban/ländlich,Status in echt,Anmerkungen,Ansprechpartner
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Hygiene & Sauberkeit an öffentlichen Toiletten,"Die Bremische Bürgerschaft möge beschließen, dass in öffentlichen Toiletten mehr Papiertücher und Desinfektionsmittel zur Verfügung gestellt werden. Die Toiletten sollen regelmäßig und oft sauber gemacht gemacht werden.",Personen sollen sich in öffentlichen Toiletten wohler fühlen. Die Verbreitung von Infektionen könnte so verhindert werden.,"Es soll mehr kostenlose öffentlicht Toiletten geben, die dem Land Bremen gehören.",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Umwelt,CO2 Ausstoß verringern,"Die Bremische Bürgerschaft möge beschließen, dass die Produktion von klimaneutralem Stahl gefördert wird.",In der Produktion von Stahl wird sehr viel CO2 freigesetzt und mit Wasserstoff wird kein CO2 freigesetzt und damit trägt die Stahlproduktion nicht zum Klimawandel bei.,,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Soziales,Kein Verlust von Krankschreibungstagen durch Menstruation,"Die Bemische Bürgerschaft möge beschließen, dass biologische Frauen sich krank schreiben lassen können, wenn sie starke Menstruationsbeschwerden haben, ohne Krankheitstage zu verlieren.","Biologische Frauen haben teilweise starke Schmerzen und können desswegen nicht arbeiten. Biologische Männer haben diese Probleme nicht, weshalb sie sich auch keine Gedanken darüber machen müssen und Frauen können nichts dafür, dass sie menstruieren.",,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Jugend,Mehr Veranstaltungen,"Die Bremische Bürgerschaft möge beschließen, dass das Land Bremen mehr Veranstaltungen organisiert.","Um den Bürgern aus Bremen Unterhaltung zu bieten und Bremen mehr Aufmerksamkeit zu schenken (d.h mehr Touristen). Es ist auch gut, um eine bessere Stadtgemeinschaft aufzubauen. Bremen würde davon profitieren.","Hilfreich wäre zusätzlich eine Internetseite mit schon vorhandenen Veranstaltungen, damit diese mehr besucht und besser wahrgenommen werden.",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Sexuelle Gewalt,"Die Bremische Bürgerschaft möge beschließen, dass es mehr Sicherheit für Frauen gibt, vor allem, wenn es dunkel ist. Das kann erreicht werden durch mehr Sicherheitspersonal, das darauf spezialisiert ist. Zusätzlich soll ein expliziter Notruf für sexuelle Belästigungen für akute Situatonen geschaffen werden. Das Sicherheitspersonal könnte Patrouillen oder Kontrollfahrten durch Wohngegenden und öffentliche Orte machen.","Uns ist wichtig, dass in Zukunft weniger Frauen sexuelle Gewalt erleben müssen und sich im Alltag sicherer fühlen.","Titel geändert in ""Sexuelle Gewalt in der Öffentlichkeit bekämpfen""; Für den Notruf sollen vor allem Frauen zuständig sein; Zusätzlich sollen Anlaufstellen und Hilfestellen den Opfern von sexueller Gewalt angeboten werden.",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Soziales,Menstruations- und Schwangerschaftsartikel sollen günstiger bzw. kostenlos gemacht werden.,"Die Bremische Bürgerschaft möge beschließen, dass Frauen mit einem Menstruationszyklus das Hilfszubehör kostenlos zur Verfügung gestellt bekommen. Es könnte zbs. kostenlose Menstruationshilfsmittel an Schulen geben. Oder generell auf öffentlichen Toiletten.","Da sich viele Mädchen oder Frauen es sich nicht leisten können, die Produkte, auf die sie angewiesen sind, zu kaufen. Es sollte selbstverständlich sein, dass Frauen und Mädchen Unterstützung in solch einer Zeit bekommen dnd ihre Hilfsmittel nicht unnötig teuer werden, da sie darauf bestehen, diese Hilfe zu bekommen!","Ersetzung des Begriffs ""Frauen"" zu ""Menschen""",,,,ja,,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Verbot des öffentlichen Rauchens beim Laufen,"Die Bremische Bürgerschaft möge beschließen, dass das öffentliche Rauchen während des Laufens verboten wird.","Das öffentliche Rauchen während des Laufens muss verboten werden, da es andere Menschen stört und ein schlechtes Vorbild für Kinder ist.",,,,,zurückgezogen,zurückgezogen,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Soziales,Mehr Hilfe für Drogenabhängige u. Obdachlose,"Die Bremische Bürgerschaft möge beschließen, dass es mehr Platz für Obdachlose gibt (mehr Obdachlosenheime) wo sie schlafen können und Hilfe für ihre Drogensucht bekommen.","Das Thema ist sehr wichtig, da es sehr viele Obdachlose mit Drogenproblemen gibt. Wir finden, dass es notwendig ist, allen Menschen eine Chance auf ein gesundes Leben zu ermöglichen.","Änderung des Titels in ""…für drogenabhängige Obdachlose""; Ebenso sollen auch Therapieplätze für drogenabhängige Obdachlose und Orte, an denen einem Hilfe angeboten wird, z.B. von Sozialarbeitern, angeboten werden; Aufteilung der Häuser in männlich und weiblich",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Soziales,Bessere Bezahlung für soziale Berufe,"Die Bremische Bürgerschaft möge beschließen, dass soziale Berufe, wie z.B. Krankenpfleger*innen, Erzieher*innen, Altenpfleger*innen und Lehrer*innen, besser bezahlt werden.","Diese Berufe sind im Personalmangel, aber super wichtig für die Gesellschaft. Durch höheres Gehalt wären mehr Leute an diesen Berufen interessiert.",Für soziale Berufe sollen die Arbeitsbedingungen verbessert werden. Daduch wird de Fachkräftemangel bekämpft und viele weitere Menschen würden sich für diese Berufe entscheiden.,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Soziales,Diskriminierung am Arbeitsplatz,"Die Bremische Bürgerschaft möge beschließen, dass Gespräche und Veranstaltungen über andere Kulturen an Arbeitsplätzen und Schulen stattfinden, sodass Kinder und Erwachsene die Möglichkeit bekommen, einander zu respektieren und zu verstehen, um Brutalität und Beleidigungen zu vermeiden.","Diskriminierung und Rassismus ist ein weltweites Problem, was zu Konflikten und Krieg führt und damit auch Brutalität und Mord. Diskriminierung und Rassismus besteht meistens, weil man unterschiedliche Kulturen, Lebensstile, Sprachen und Aussehen nicht wirklich versteht. Daher ist es wichtig, sich zu informieren, ganz besonders fürKinder.",Änderung des Titels: Diskriminierung in Bildungseinrichtungen und am Arbeitsplatz,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Jugend,Öffentliche Aufenthaltsorte,"Die Bremische Bürgerschaft möge beschließen, dass es mehr kostenlose Aufenthaltsorte für Jugendliche geben soll. Ich möchte, dass es in jedem Stadtteil mindestens drei öffentliche Aufenthaltsorte gibt.","In Bremen gibt es zu wenig öffentliche Aufenthaltsorte. Studien haben bewiesen, dass durch die Corona-Pandemie die psychische Gesundheit von Jugendlichen stark gelitten hat. Durch öffentliche Aufenthaltsorte können Jugendliche sich treffen und das ist gut für die psychische Gesundheit.",,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Soziales,Kindergeld nach Gehalt,"Die Bremische Bürgerschaft möge beschließen, dass das Kindergeld je nach Gehalt der Eltern angepasst wird. Erziehungsberechtigte, die Mindestlohn oder weniger verdienen, erhalten dadurch mehr Unterstützung.",Eltern mit weniger Gehalt bekommen durch höheres Kindergeld mehr Unterstützung und haben dadurch mehr Zeit für ihre Kinder.,"Wir fordern den Senat dazu auf, sich auf Bundesebene dafür einzusetzen.",,,,nein,nein,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Stadtentwicklung,Bessere Überwachung an Orten mit hoher Kriminalität,"Die Bremische Bürgerschaft möge beschließen, dass es eine bessere Ausbildung für Polizisten geben muss. Die Polizei soll sich mit Orten mit hoher Kriminalitätsrate beschäftigen.","Wir stellen diesen Antrag, da es in Bremen eine erhöhte Kriminalität in bestimmten Bereichen gibt (zum Beispiel am Hauptbahnhof). Wir wollen vermeiden, dass sich Menschen unsicher fühlen und dass sich die Kriminalität nicht weiter verbreitet.",“...dass es eine bessere Ausbildung für Polizisten sowie eine Wer- bekampagne für die Polizei geben muss.”,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Bildung,Aufklärung von Rechtsextremismus,"Die Bremische Bürgerschaft möge beschließen, dass Rechtsextremen keine Plattform auf politischen Veranstaltungen sowie in täglichen Medien, wie der Tagesschau, gegeben wird. Besonders aufmerksam gemacht werden sollte darauf, dass diese Weltansicht schädlich für alle ist. Es sollte Aufklärung in den Schulen geben, zum Beispiel durch Motto-Wochen. Neonazis und Rechte, die aufsteigen wollen oder die offen fürs Hinterfragen sind, sollten die Möglichkeit haben für anonyme Aufklärungskurse. Wenn es zu einem Ausstieg aus der Neonaziszene kommt, sollten diese Schutzplätze kriegen. Solange, bis sie ein sicheres nicht extremistisches Leben führen können. Die Möglichkeit auf Therapie und Aufklärung ist ein Muss.","Das Thema ist wichtig, weil wir in einer Welt leben, in der es manchmal Menschen gibt, denen das Ausmaß ihrer Überzeugungen nicht bewusst ist oder denen es egal ist. Diese Menschen brauchen Hilfe. Dennoch gibt es auch Menschen, die Therapie, Bildung oder vor allem Schutz brauchen. Veränderung braucht Zeit und harte Arbeit. Das geht nicht von jetzt auf gleich, was aber geht ist, ihnen die Chance zu geben, denn ohne können sie sich nicht ändern.","Streichung: ""sowie in täglichen Medien, wie der Tagesschau, """,,,,nein,nein,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Schule,Mehr Geld für freie Schulen,"Die Bremische Bürgerschaft möge beschließen, dass freie Schulen mit staatlichen Schulen auf finanzieller Ebene gleichgestellt werden.Wir fordern das Geld, damit alle Schüler*innen die Chance haben, auf eine freie Schule zu gehen.","Freie Schulen sind nicht immer gleich. Uns geht es um folgende Prinzipien: Man lernt schon in jungen Jahren, mit Demokratie umzugehen. Schüler*innen beteiligen sich mit an Entscheidungen und sind mit den Lehrer*innen auf Augenhöhe. Die meisten freien Schulen sind ziemlich klein, dadurch wird konzentriertes Lernen ermöglicht. In freien Schulen wird der Stundenplan selber gewählt und man kann Lerninhalte teilweise selber auswählen und gestalten.","Darüber hinaus fordern wir, dass Schulen in freier Trägerschaft vom Staat mehr Geld erhalten, um sozial schwächeren Schüler:innen Stipendien anbieten zu können.",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Bildung,Schwerpunkt auf Bremische Geschichte und Kultur bei der Bildung,"Die Bremische Bürgerschaft möge beschließen, dass ein Schwerpunkt auf die Geschichte Bremens in der Bildung gelegt wird.","Dadurch erlangen wir mehr Verständnis von dem Ort, in dem wir leben.","Die Bremische Bürgerschaft möge beschließen, dass ein Schwerpunkt auf die Geschichte Bremens in der Bildung, da wo sie nicht geschieht, gelegt wird. In allen Schulen und Begegnungen von Stadtteilen, Schulen & Institutionen.",,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Bildung,Bildung im Thema Leben nach der Schule,"Die Bremische Bürgerschaft möge beschließen, dass ab der siebten Klasse ein Fach unterrichtet wird, wo die Schüler auf das Leben nach der Schule vorbereitet werden. In diesem Fach lernt man, wie und wann man Steuererklärungen schreibt, wie man Kredite aufnimmt und wie man Geld verwaltet.","Bildung in diesem Thema ist sehr wichtig, weil viele Schüler:innen nach ihrem Schulabschluss gar nicht wissen, wie sie im Leben zurechtkommen, vor allem mit dem Thema Geld. Wir denken, dass es wichtig ist, sich schon früh mit dem Thema zu beschäftigen, damit, wenn man in das Berufsleben einsteigt, nicht völlig unerfahren und hilflos ist.",,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Bildung,Mehr Unabhängigkeit beim Lehrplan,"Die Bremische Bürgerschaft möge beschließen, dass einzelne Schulen ihre Lerninhalte mehr selber bestimmen können. Das heißt nicht, dass Hauptfächer nicht mehr unterrichtet werden. Es geht um mehr Freiraum für eigene Entscheidungen.","Damit einzelne Schüler:innen nach ihren Interessen lernen können, sodass Lernen mehr Spaß macht und eine höhere Motivation entsteht. Dadurch können sich Schüler besser entwickeln.",,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Bildung,Vergrößerung der Universität Bremen,"Die Bremische Bürgerschaft möge beschließen, dass die Universität Bremen im Hinblick auf die folgenden Aspekte erweitert wird: a. Erweiterung der Liste der Fakultäten, b. Einladung von renommierten Professoren aus dem ganzen Land zu Vorlesungen und Seminaren, c. Finanzierung von Austauschprogrammen mit internationalen Universitäten, Bereitstellung guter Stipendien","Damit junge Menschen in der Stadt gehalten/angezogen werden. Dazu muss es eine gute Hochschulbildung geben. Derzeit kann die Universität Bremen, obwohl sie eine bedeutende Einrichtung ist, die Nachrage der Studenten nicht vollständig befriedigen, was diese dazu veranlasst, die Stadt zu verlassen.",,,,,ja,nein,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Schule,Forschungsangepasste Schulzeiten,"Die Bremische Bürgerschaft möge beschließen, dass die Schulen morgens später starten, zum Beispiel von 08:30 Uhr bis 15:00 Uhr.","Wir stellen diesen Antrag, weil Schlafforschende in einer Studie gezeigt haben, dass Jugendliche zu wenig schlafen. Das kommt daher, dass sich der Schlafrhythmus in der Pubertät nach hinten verschiebt. Somit haben sie einen anderen inneren Rhythmus als Erwachsene und können gar nicht früher einschlafen. Deshalb schlafen Viele erst nach 23 Uhr und müssen teilweise um 6 Uhr aufstehen. Sie haben also zu wenig Schlaf, was dazu führt, dass Schüler müde und unkonzentriert im Unterricht sitzen. Schlafentzug führt außerdem dazu, dass sich Lerninhalte nicht gut im Langzeitgedächtnis festsetzen.",,,,,ja,,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Demokratie,Wählen ab 14 Jahren,"Die Bremische Bürgerschaft möge beschließen, dass Jugendliche ab 14 wählen dürfen und die Chance haben, mit abzustimmen.","Da es unsere Zukunft ist und wir noch viele Jahre auf dieser Erde leben werden, möchten wir mit über Entscheidungen und Pläne unserer Zukunft abstimmen.",,,,,nein,,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Schule,Keine Jackenverbote,"Die Bremische Bürgerschaft möge beschließen, dass Schulen das Tragen von Jacken nicht verbieten dürfen.",Viele Lehrer verbieten an Schulen das Tragen von Jacken - dadurch könnten Schüler:innen sich erkälten.,,,,,zurückgezogen,zurückgezogen,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Umwelt,Bildung zu Klimaschutz und Akzeptanz,"Die Bremische Bürgerschaft möge beschließen, dass es in Schulen und Universitäten Pflichtkurse gibt, die sich auf Klimaschutz, LGBTQ+ und People of Color spezialisieren. Diese Kurse dürfen nicht wie jetzt freiwillig sein oder von Freiwilligen durchgeführt werden. Die Durchführenden müssen bezahlt werden und ihre Inhalte auf Fehlinformationen überprüft werden.","Diese Kurse sind wichtig, weil das Klima und die Akzeptanz von allen Menschen wichtig sind, um ein Umfeld zu schaffen, in dem sich Mensch und Tier wohlfühlen können.",Zusammengelegt mit TOPs 34 und 36.,,,,ja,nein,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Bildung,Bessere Politische Bildung,"Die Bremische Bürgerschaft möge beschließen, dass die Aufklärung im Bereich der politischen Bildung, unter Anderem an Schulen, mehr gefördert wird. Es sollen mehr zugängliche Informationen erstellt und bereit gestellt werden, sodass man einen besseren Überblick erhält.",Dadurch wird die Mitbestimmung gestärkt und eine größere Teilhabe gefördert.,Zusammengelegt mit TOPs 33 und 36.,,,,,,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Schule,Höhere Standards beim Schulessen setzen,"Die Bremische Bürgerschaft möge beschließen, dass das Essen an den Schulen besser werden soll.",Folgt in der Ausschusssitzung,,,,,ja,ja,04011000,570000,SPD,,Bremen,,urban,,,
Bremen,2023,Jugend im Parlament,Schule,Aufklärungskurse in Schulen,"Die Bremische Bürgerschaft möge beschließen, dass es in jeder achten Klasse eine Projektwoche zur Aufklärung von People of Colour und Queer-Personen gibt.","Damit sich niemand ausgegrenzt oder diskriminiert fühlt, sollte darüber gut aufgeklärt werden.",Zusammengelegt mit TOPs 33 und 34.,,,,,,04011000,570000,SPD,,Bremen,,urban,,,
Hamburg,2023,Jugend im Parlament,Jugend,Sportliche Förderungen,"Die Hamburgische Bürgerschaft möge beschließen, dass es allgemein mehr sportliche Angebote gibt, wie Fussballplätze oder Turnhallen. Viele Jugendliche wollen mehr Sport in ihrer Freizeit treiben, dies können sie aber nicht, da es an Sporthallen etc. mangelt bzw. diese nicht frei zugänglich sind.",Das Thema is insbesondere für Schüler:innen wichtig. Sie können sich mit Sport besser in ihrer Freizeit von der Schule ablenken und sich können dadurch in der Schule besser konzentrieren.,,,,,nein,nein,02000000,1800000,SPD,,Hamburg,,urban,,,
Hamburg,2023,Jugend im Parlament,Schule,Hamburger Schulturniere,"Die Hamburgische Bürgerschaft möge beschließen, dass es mehr Schulturniere zwischen zwei oder mehr Schulen geben soll, z. B. Fußballturniere, Schachturniere, Matheolympiaden usw. So können Schulen auch zeigen, wie gut sie in der jeweiligen Kategorie sind.",Es würde wahrscheinlich die Hamburger Schulen enger zusammen bringen und es können Freundschaften untereinander entstehen. Die Schüler würden so einen Antrieb zu verschiedenen Themen kriegen.,Hierbei sollen nur die ersten drei Plätze genannt werden.,,,,ja,ja,02000000,1800000,SPD,,Hamburg,,urban,,,
Hamburg,2023,Jugend im Parlament,Integration,Flüchtlinge,"Die Hamburgische Bürgerschaft möge beschließen, dass der Prozess der Integrierung von Flüchtlingen einfacher gestaltet wird. Durch schnellere Einführungen in schulische Aktivitäten oder in der Arbeitwelt. Zusätzlich mehr Unterstützung für Gesundheit und Wahlergehen.","Diese Thema ist wichtig, da die Versorgung von Menschen wichtig ist egal welcher Herkunft. Die Integrierung fördert die Gesellschaft und kann auch in der Arbeitwelt helfen. Somit fühlen sich Flüchtlinge wohler und unterstützen das Land mehr.",Ergänzung von kostenlosen Sprachkursen.,,,,ja,ja,02000000,1800000,SPD,,Hamburg,,urban,,,
Hamburg,2023,Jugend im Parlament,Bildung,Überarbeitung des Lehrplans,"Die Hamburgische Bürgerschaft möge beschließen, dass der Lehrplan der Hamburger weiterführenden Schulen angepasst wird, sodass er mehr auf individuelle Interessen und Begabungen der Schüler fokussiert. Außerdem sollen irrelevante Lehrstoffe, die nicht im späteren Leben zu gebrauchen sind, durch brauchbare Lehrstoffe ersetzt werden. Beispielsweise sollte Logik und Mathematik Unterricht ab der Mittelstufe durch relevante Themen wie Finanzen gekehrt werden und nicht durch irrelevante Themen wie Geometrie. Zudem sollte früher, also ab der 7. Jahrgangsstufe, freiere Fächerauswahl eingeführt werden.","Viele Schüler sind mit irrelevantem Stoff schwer überlastet. Mit überarbeiteten Lehrplänen aus unseren Beschlussvorschlag und freierer Fächerauswahl ab der Mittelstufe könnte man diese Belastung minimieren und Schüler besser auf ihren späteren Beruf vorbereiten, sowie schon vorhandene Interessen und Begabungen fördern.",,,,,ja,ja,02000000,1800000,SPD,,Hamburg,,urban,,,
